income,mean,median,p5,p10,p25,p75,p90,p95,negative_rate_count,negative_rate_pct
44500.0,34.352999999999945,36.92999999999993,19.75,19.75,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
45000.0,34.353000000000115,36.930000000000106,19.750000000000092,19.750000000000092,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
45500.0,34.352999999999945,36.92999999999993,19.75,19.75,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
46000.0,34.35300000000009,36.930000000000106,19.74999999999991,19.74999999999991,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
46500.0,34.3530000000001,36.930000000000106,19.75,19.75,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
47000.0,34.35299999999995,36.92999999999993,19.750000000000092,19.750000000000092,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
47500.0,34.3530000000001,36.930000000000106,19.75,19.75,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
48000.0,34.35299999999993,36.92999999999993,19.74999999999991,19.74999999999991,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
48500.0,34.35299999999977,36.92999999999974,19.75,19.75,36.92999999999974,36.92999999999974,36.92999999999974,36.92999999999974,0,0.0
49000.0,34.35299999999995,36.92999999999993,19.750000000000092,19.750000000000092,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
49500.0,34.3530000000001,36.930000000000106,19.75,19.75,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
50000.0,34.353000000000115,36.930000000000106,19.750000000000092,19.750000000000092,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
50500.0,34.352999999999916,36.92999999999993,19.749999999999815,19.749999999999815,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
51000.0,34.353000000000115,36.930000000000106,19.750000000000092,19.750000000000092,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
51500.0,34.352999999999945,36.92999999999993,19.75,19.75,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
52000.0,34.353000000000115,36.930000000000106,19.750000000000092,19.750000000000092,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
52500.0,34.352999999999916,36.92999999999993,19.749999999999815,19.749999999999815,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
53000.0,34.353000000000115,36.930000000000106,19.750000000000092,19.750000000000092,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
53500.0,34.352999999999945,36.92999999999993,19.75,19.75,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
54000.0,34.353000000000115,36.930000000000106,19.750000000000092,19.750000000000092,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
54500.0,34.35300000000008,36.930000000000106,19.749999999999815,19.749999999999815,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
55000.0,34.35299999999966,36.92999999999956,19.75000000000027,19.75000000000027,36.92999999999956,36.92999999999956,36.92999999999956,36.92999999999956,0,0.0
55500.0,34.35300000000008,36.930000000000106,19.749999999999815,19.749999999999815,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
56000.0,34.35299999999993,36.92999999999993,19.74999999999991,19.74999999999991,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
56500.0,34.353000000000414,36.930000000000476,19.750000000000185,19.750000000000185,36.930000000000476,36.930000000000476,36.930000000000476,36.930000000000476,0,0.0
57000.0,34.35299999999993,36.92999999999993,19.74999999999991,19.74999999999991,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
57500.0,34.35300000000013,36.930000000000106,19.750000000000185,19.750000000000185,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
58000.0,34.35299999999931,36.9299999999992,19.74999999999991,19.74999999999991,36.9299999999992,36.9299999999992,36.9299999999992,36.9299999999992,0,0.0
58500.0,34.35300000000008,36.930000000000106,19.749999999999815,19.749999999999815,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
59000.0,34.35300000000015,36.930000000000106,19.75000000000027,19.75000000000027,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
59500.0,34.352999999999916,36.92999999999993,19.749999999999815,19.749999999999815,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
60000.0,34.352999999999994,36.93000000000002,19.74999999999991,19.74999999999991,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
60500.0,34.35300000000013,36.930000000000106,19.750000000000185,19.750000000000185,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
61000.0,34.352999999999994,36.93000000000002,19.74999999999991,19.74999999999991,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
61500.0,34.35300000000003,36.93000000000002,19.750000000000185,19.750000000000185,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
