income,income_cents,zorgtoeslag,zorgtoeslag_eligible,huurtoeslag,huurtoeslag_eligible,bijstand,bijstand_eligible,tax,tax_credits,disposable_income,marginal_rate_zorgtoeslag,marginal_rate_huurtoeslag,marginal_rate_bijstand,marginal_rate_tax,marginal_rate_tax_credits,marginal_rate_total
22400.0,2240000,140.60833333333332,True,0.0,True,0.0,False,704.32,7568.0,1948.5816666666665,-0.15750000000002728,0.0,0.0,36.930000000000064,0.0,36.772500000000036
22500.0,2250000,140.45000000000002,True,0.0,True,0.0,False,741.25,7568.0,1953.6791666666668,-0.15833333333330302,0.0,0.0,36.92999999999995,0.0,36.77166666666665
22600.0,2260000,140.29166666666666,True,0.0,True,0.0,False,778.18,7568.0,1958.7766666666669,-0.15833333333335986,0.0,0.0,36.92999999999995,0.0,36.77166666666659
22700.0,2270000,140.13416666666666,True,0.0,True,0.0,False,815.11,7568.0,1963.875,-0.15749999999999886,0.0,0.0,36.930000000000064,0.0,36.772500000000065
22800.0,2280000,139.97583333333333,True,0.0,True,0.0,False,852.04,7568.0,1968.9725,-0.15833333333333144,0.0,0.0,36.92999999999995,0.0,36.77166666666662
22900.0,2290000,139.81833333333333,True,0.0,True,0.0,False,888.97,7568.0,1974.0708333333334,-0.15749999999999886,0.0,0.0,36.930000000000064,0.0,36.772500000000065
23000.0,2300000,139.66,True,0.0,True,0.0,False,925.9,7568.0,1979.1683333333333,-0.15833333333333144,0.0,0.0,36.92999999999995,0.0,36.77166666666662
23100.0,2310000,139.50166666666667,True,0.0,True,0.0,False,962.83,7568.0,1984.2658333333334,-0.15833333333333144,0.0,0.0,36.930000000000064,0.0,36.77166666666673
23200.0,2320000,139.34416666666667,True,0.0,True,0.0,False,999.76,7568.0,1989.364166666667,-0.15749999999999886,0.0,0.0,36.92999999999995,0.0,36.77249999999995
23300.0,2330000,139.18583333333333,True,0.0,True,0.0,False,1036.69,7568.0,1994.4616666666666,-0.15833333333333144,0.0,0.0,36.930000000000064,0.0,36.77166666666673
23400.0,2340000,139.02833333333334,True,0.0,True,0.0,False,1073.62,7568.0,1999.5600000000002,-0.15749999999999886,0.0,0.0,36.929999999999836,0.0,36.77249999999984
23500.0,2350000,138.87,True,0.0,True,0.0,False,1110.55,7568.0,2004.6575000000003,-0.15833333333333144,0.0,0.0,36.930000000000064,0.0,36.77166666666673
23600.0,2360000,138.71166666666667,True,0.0,True,0.0,False,1147.48,7568.0,2009.7549999999997,-0.15833333333333144,0.0,0.0,36.930000000000064,0.0,36.77166666666673
23700.0,2370000,138.55416666666667,True,0.0,True,0.0,False,1184.41,7568.0,2014.8533333333335,-0.15749999999999886,0.0,0.0,36.930000000000064,0.0,36.772500000000065
23800.0,2380000,138.39583333333334,True,0.0,True,0.0,False,1221.34,7568.0,2019.9508333333333,-0.15833333333333144,0.0,0.0,36.929999999999836,0.0,36.771666666666505
23900.0,2390000,138.23833333333332,True,0.0,True,0.0,False,1258.27,7568.0,2025.0491666666665,-0.15750000000002728,0.0,0.0,36.930000000000064,0.0,36.772500000000036
24000.0,2400000,138.08,True,0.0,True,0.0,False,1295.2,7568.0,2030.1466666666665,-0.15833333333330302,0.0,0.0,36.930000000000064,0.0,36.77166666666676
24100.0,2410000,137.92166666666665,True,0.0,True,0.0,False,1332.13,7568.0,2035.2441666666668,-0.15833333333335986,0.0,0.0,36.930000000000064,0.0,36.771666666666704
24200.0,2420000,137.76416666666668,True,0.0,True,0.0,False,1369.06,7568.0,2040.3424999999997,-0.15749999999997044,0.0,0.0,36.929999999999836,0.0,36.772499999999866
24300.0,2430000,137.60583333333332,True,0.0,True,0.0,False,1405.99,7568.0,2045.44,-0.15833333333335986,0.0,0.0,36.930000000000064,0.0,36.771666666666704
24400.0,2440000,137.44833333333335,True,0.0,True,0.0,False,1442.92,7568.0,2050.5383333333334,-0.15749999999997044,0.0,0.0,36.930000000000064,0.0,36.77250000000009
24500.0,2450000,137.29,True,0.0,True,0.0,False,1479.85,7568.0,2055.6358333333333,-0.15833333333335986,0.0,0.0,36.929999999999836,0.0,36.771666666666476
24600.0,2460000,137.13166666666666,True,0.0,True,0.0,False,1516.78,7568.0,2060.7333333333336,-0.15833333333333144,0.0,0.0,36.930000000000064,0.0,36.77166666666673
24700.0,2470000,136.97416666666666,True,0.0,True,0.0,False,1555.81,7565.9,2065.6566666666668,-0.15749999999999886,0.0,0.0,39.02999999999997,-2.100000000000364,36.77249999999961
24800.0,2480000,136.81583333333333,True,0.0,True,0.0,False,1599.32,7559.32,2070.2058333333334,-0.15833333333333144,0.0,0.0,43.50999999999999,-6.579999999999927,36.77166666666673
24900.0,2490000,136.65833333333333,True,0.0,True,0.0,False,1642.83,7552.74,2074.7558333333336,-0.15749999999999886,0.0,0.0,43.50999999999999,-6.579999999999927,36.772500000000065
25000.0,2500000,136.5,True,0.0,True,0.0,False,1686.34,7546.16,2079.3050000000003,-0.15833333333333144,0.0,0.0,43.50999999999999,-6.579999999999927,36.77166666666673
25100.0,2510000,136.34166666666667,True,0.0,True,0.0,False,1729.85,7539.58,2083.8541666666665,-0.15833333333333144,0.0,0.0,43.50999999999999,-6.579999999999927,36.77166666666673
25200.0,2520000,136.18416666666667,True,0.0,True,0.0,False,1773.35,7533.01,2088.4049999999997,-0.15749999999999886,0.0,0.0,43.5,-6.569999999999709,36.77250000000029
25300.0,2530000,136.02583333333334,True,0.0,True,0.0,False,1816.86,7526.43,2092.954166666667,-0.15833333333333144,0.0,0.0,43.50999999999999,-6.579999999999927,36.77166666666673
25400.0,2540000,135.86833333333334,True,0.0,True,0.0,False,1860.37,7519.85,2097.5041666666666,-0.15749999999999886,0.0,0.0,43.50999999999999,-6.579999999999927,36.772500000000065
25500.0,2550000,135.71,True,0.0,True,0.0,False,1903.88,7513.27,2102.0533333333333,-0.15833333333333144,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666696
25600.0,2560000,135.55166666666665,True,0.0,True,0.0,False,1947.39,7506.69,2106.6025,-0.15833333333335986,0.0,0.0,43.50999999999999,-6.580000000000837,36.771666666665794
25700.0,2570000,135.39416666666668,True,0.0,True,0.0,False,1990.89,7500.12,2111.153333333333,-0.15749999999997044,0.0,0.0,43.5,-6.569999999999709,36.77250000000032
25800.0,2580000,135.23583333333332,True,0.0,True,0.0,False,2034.4,7493.54,2115.7025,-0.15833333333335986,0.0,0.0,43.50999999999999,-6.579999999999927,36.771666666666704
25900.0,2590000,135.07833333333335,True,0.0,True,0.0,False,2077.91,7486.96,2120.2525,-0.15749999999997044,0.0,0.0,43.50999999999976,-6.579999999999927,36.772499999999866
